
                           В  Е  Д  О  М  О  С  Т  Ь    В  Ы  Ч  И  С  Л  Е  Н  И  Я    К  О  О  Р  Д  И  Н  А  Т
-----------------------------------------------------------------------------------------------------------------------------------------------
|  Название   |  Длина  | Направ-  |  Угол   |  Высота  |   Дир.   |        П р и р а щ е н и я      |            К о о р д и н а т ы         |
|   точки     |  линии  |  ление   | наклона | наведения|   угол   |---------------------------------|----------------------------------------|
|             |    м.   |  г.мс    |   г.мс  |     м.   |   г.мс   |   DX, м. |   DY, м. |   DZ, м.  |     X, м.   |    Y, м.    |     Z, м.  |
|-------------|---------|----------|---------|----------|----------|----------|----------|-----------|--------- ---|-------------|------------|
|      1      |     2   |     3    |    4    |     5    |     6    |     7    |     8    |      9    |     10      |      11     |      12    |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                   Станция 2819       Ориентир 150      Высота инструмента i = 1.588
-----------------------------------------------------------------------------------------------------------------------------------------------
|       2819 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |      0.000 |
|        150 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |            |
|       T156 |  250.223 |   2.4012 | -0.0330 |    1.600 |   2.4012 |  249.951 |   11.656 |    -0.267 |     249.951 |      11.656 |     -0.267 |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                   Станция 156       Ориентир 2819      Высота инструмента i = 1.597
-----------------------------------------------------------------------------------------------------------------------------------------------
|        156 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |      0.000 |
|       2819 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |            |
|       T157 |  113.376 | 205.0223 | -0.0207 |    1.600 | 205.0223 | -102.720 |  -47.986 |    -0.073 |    -102.720 |     -47.986 |     -0.073 |
|          2 |   64.190 | 205.1503 | -0.0332 |    1.670 | 205.1503 |  -58.057 |  -27.382 |    -0.139 |     -58.057 |     -27.382 |     -0.139 |
|          2 |   51.640 | 205.1626 | -0.0126 |    1.670 | 205.1626 |  -46.697 |  -22.047 |    -0.095 |     -46.697 |     -22.047 |     -0.095 |
|          0 |   47.600 | 198.0452 |  0.0422 |    1.670 | 198.0452 |  -45.249 |  -14.773 |    -0.013 |     -45.249 |     -14.773 |     -0.013 |
|          0 |   42.260 | 195.5932 | -0.0031 |    1.670 | 195.5932 |  -40.624 |  -11.643 |    -0.079 |     -40.624 |     -11.643 |     -0.079 |
|          2 |   40.000 | 205.0453 |  0.0309 |    1.670 | 205.0453 |  -36.228 |  -16.956 |    -0.036 |     -36.228 |     -16.956 |     -0.036 |
|          0 |   37.250 | 195.4318 | -0.0130 |    1.670 | 195.4318 |  -35.856 |  -10.093 |    -0.089 |     -35.856 |     -10.093 |     -0.089 |
|          7 |   35.600 | 191.4619 | -0.0427 |    1.670 | 191.4619 |  -34.851 |   -7.263 |    -0.119 |     -34.851 |      -7.263 |     -0.119 |
|          0 |   31.550 | 194.4015 |  0.0413 |    1.670 | 194.4015 |  -30.521 |   -7.991 |    -0.034 |     -30.521 |      -7.991 |     -0.034 |
|          0 |   28.110 | 194.5935 |  0.0227 |    1.670 | 194.5935 |  -27.153 |   -7.272 |    -0.053 |     -27.153 |      -7.272 |     -0.053 |
|          2 |   28.140 | 207.2150 |  0.0515 |    1.670 | 207.2150 |  -24.991 |  -12.934 |    -0.030 |     -24.991 |     -12.934 |     -0.030 |
|          2 |   14.920 | 208.1327 |  0.1646 |    1.670 | 208.1327 |  -13.146 |   -7.056 |     0.000 |     -13.146 |      -7.056 |      0.000 |
|          0 |   20.320 | 193.2132 |  0.1251 |    1.670 | 193.2132 |  -19.770 |   -4.695 |     0.003 |     -19.770 |      -4.695 |      0.003 |
|          7 |   20.600 | 181.5228 | -0.0021 |    1.670 | 181.5228 |  -20.589 |   -0.674 |    -0.075 |     -20.589 |      -0.674 |     -0.075 |
|          7 |   12.810 | 165.4801 | -0.0839 |    1.670 | 165.4801 |  -12.419 |    3.142 |    -0.105 |     -12.419 |       3.142 |     -0.105 |
|          7 |    7.970 | 128.0652 | -0.2146 |    1.670 | 128.0652 |   -4.919 |    6.271 |    -0.123 |      -4.919 |       6.271 |     -0.123 |
|          3 |    7.820 | 115.1608 |  0.0113 |    1.670 | 115.1608 |   -3.338 |    7.072 |    -0.070 |      -3.338 |       7.072 |     -0.070 |
|        776 |    7.950 | 110.2432 | -0.0650 |    1.670 | 110.2432 |   -2.772 |    7.451 |    -0.089 |      -2.772 |       7.451 |     -0.089 |
|          0 |    7.630 | 101.1218 | -1.0933 |    1.670 | 101.1218 |   -1.482 |    7.483 |    -0.227 |      -1.482 |       7.483 |     -0.227 |
|         71 |   10.450 |  87.1907 | -1.1128 |    1.670 |  87.1907 |    0.489 |   10.436 |    -0.290 |       0.489 |      10.436 |     -0.290 |
|          7 |    8.850 | 106.4023 | -1.1333 |    1.670 | 106.4023 |   -2.539 |    8.476 |    -0.262 |      -2.539 |       8.476 |     -0.262 |
|          7 |   10.300 |  94.3646 | -1.1202 |    1.670 |  94.3646 |   -0.828 |   10.264 |    -0.289 |      -0.828 |      10.264 |     -0.289 |
|         70 |   12.130 |  64.4247 | -0.5100 |    1.670 |  64.4247 |    5.181 |   10.966 |    -0.253 |       5.181 |      10.966 |     -0.253 |
|         77 |   13.930 |  54.4343 | -0.1952 |    1.670 |  54.4343 |    8.044 |   11.373 |    -0.154 |       8.044 |      11.373 |     -0.154 |
|          3 |    9.880 |   8.1743 |  0.0353 |    1.670 |   8.1743 |    9.777 |    1.425 |    -0.062 |       9.777 |       1.425 |     -0.062 |
|         66 |    0.750 | 121.1332 |  0.0410 |    0.000 | 121.1332 |   -0.389 |    0.641 |     1.598 |      -0.389 |       0.641 |      1.598 |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                   Станция 157       Ориентир 156      Высота инструмента i = 1.556
-----------------------------------------------------------------------------------------------------------------------------------------------
|        157 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |      0.000 |
|        156 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |            |
|       T156 |  113.379 |   0.0001 |  0.0309 |    1.600 |   0.0001 |  113.379 |    0.001 |     0.060 |     113.379 |       0.001 |      0.060 |
|       T158 |   97.740 | 182.5923 | -0.2934 |    1.600 | 182.5923 |  -97.603 |   -5.098 |    -0.885 |     -97.603 |      -5.098 |     -0.885 |
|          2 |   97.580 | 184.0216 | -0.2843 |    1.600 | 184.0216 |  -97.334 |   -6.871 |    -0.859 |     -97.334 |      -6.871 |     -0.859 |
|          2 |   98.190 | 188.1433 | -0.3240 |    1.600 | 188.1433 |  -97.171 |  -14.076 |    -0.977 |     -97.171 |     -14.076 |     -0.977 |
|          5 |   99.200 | 189.2749 | -0.3854 |    1.600 | 189.2749 |  -97.844 |  -16.310 |    -1.166 |     -97.844 |     -16.310 |     -1.166 |
|          5 |   86.200 | 190.5223 | -0.4045 |    1.600 | 190.5223 |  -84.647 |  -16.259 |    -1.066 |     -84.647 |     -16.259 |     -1.066 |
|          2 |   86.280 | 188.4934 | -0.3329 |    1.600 | 188.4934 |  -85.254 |  -13.238 |    -0.884 |     -85.254 |     -13.238 |     -0.884 |
|          2 |   85.270 | 184.3544 | -0.2956 |    1.600 | 184.3544 |  -84.993 |   -6.832 |    -0.786 |     -84.993 |      -6.832 |     -0.786 |
|         31 |   85.380 | 181.5542 | -0.4029 |    1.600 | 181.5542 |  -85.326 |   -2.873 |    -1.049 |     -85.326 |      -2.873 |     -1.049 |
|         31 |   70.620 | 182.0914 | -0.3831 |    1.600 | 182.0914 |  -70.566 |   -2.654 |    -0.835 |     -70.566 |      -2.654 |     -0.835 |
|          2 |   70.500 | 184.5110 | -0.3104 |    1.600 | 184.5110 |  -70.244 |   -5.964 |    -0.681 |     -70.244 |      -5.964 |     -0.681 |
|          2 |   70.920 | 190.2141 | -0.3519 |    1.600 | 190.2141 |  -69.760 |  -12.755 |    -0.773 |     -69.760 |     -12.755 |     -0.773 |
|          5 |   70.100 | 192.4327 | -0.3422 |    1.600 | 192.4327 |  -68.375 |  -15.439 |    -0.745 |     -68.375 |     -15.439 |     -0.745 |
|          5 |   55.130 | 195.5418 | -0.3347 |    1.600 | 195.5418 |  -53.017 |  -15.107 |    -0.586 |     -53.017 |     -15.107 |     -0.586 |
|          2 |   54.770 | 192.0541 | -0.3350 |    1.670 | 192.0541 |  -53.552 |  -11.475 |    -0.653 |     -53.552 |     -11.475 |     -0.653 |
|          2 |   55.330 | 185.0757 | -0.2725 |    1.670 | 185.0757 |  -55.106 |   -4.950 |    -0.555 |     -55.106 |      -4.950 |     -0.555 |
|         31 |   57.650 | 179.5500 | -0.3917 |    1.670 | 179.5500 |  -57.646 |    0.084 |    -0.773 |     -57.646 |       0.084 |     -0.773 |
|         31 |   48.750 | 179.0313 | -0.3904 |    1.670 | 179.0313 |  -48.740 |    0.805 |    -0.668 |     -48.740 |       0.805 |     -0.668 |
|         31 |   42.630 | 182.0042 | -0.3444 |    1.670 | 182.0042 |  -42.602 |   -1.496 |    -0.545 |     -42.602 |      -1.496 |     -0.545 |
|          2 |   43.280 | 186.2135 | -0.3042 |    1.670 | 186.2135 |  -43.012 |   -4.794 |    -0.500 |     -43.012 |      -4.794 |     -0.500 |
|          2 |   44.140 | 194.5038 | -0.3604 |    1.670 | 194.5038 |  -42.665 |  -11.307 |    -0.577 |     -42.665 |     -11.307 |     -0.577 |
|          5 |   44.600 | 199.4212 | -0.3154 |    1.670 | 199.4212 |  -41.987 |  -15.036 |    -0.528 |     -41.987 |     -15.036 |     -0.528 |
|          5 |   33.840 | 203.3131 | -0.3853 |    1.670 | 203.3131 |  -31.025 |  -13.506 |    -0.497 |     -31.025 |     -13.506 |     -0.497 |
|          2 |   33.120 | 199.1336 | -0.4114 |    1.670 | 199.1336 |  -31.270 |  -10.906 |    -0.511 |     -31.270 |     -10.906 |     -0.511 |
|          2 |   34.700 | 187.1949 | -0.3141 |    1.670 | 187.1949 |  -34.415 |   -4.427 |    -0.434 |     -34.415 |      -4.427 |     -0.434 |
|        301 |   35.810 | 182.0152 | -0.4414 |    1.670 | 182.0152 |  -35.785 |   -1.269 |    -0.575 |     -35.785 |      -1.269 |     -0.575 |
|         61 |   31.010 | 184.1145 | -0.3113 |    1.670 | 184.1145 |  -30.926 |   -2.269 |    -0.396 |     -30.926 |      -2.269 |     -0.396 |
|          6 |   27.370 | 174.2208 | -0.3120 |    1.670 | 174.2208 |  -27.237 |    2.686 |    -0.363 |     -27.237 |       2.686 |     -0.363 |
|          6 |   14.850 | 166.3834 | -0.2442 |    1.670 | 166.3834 |  -14.448 |    3.431 |    -0.221 |     -14.448 |       3.431 |     -0.221 |
|        222 |   13.800 | 165.5236 | -0.0418 |    1.670 | 165.5236 |  -13.383 |    3.367 |    -0.131 |     -13.383 |       3.367 |     -0.131 |
|         61 |   11.540 | 185.2455 | -0.3737 |    1.670 | 185.2455 |  -11.488 |   -1.089 |    -0.240 |     -11.488 |      -1.089 |     -0.240 |
|          2 |    9.240 | 201.1352 | -0.4650 |    1.670 | 201.1352 |   -8.612 |   -3.346 |    -0.240 |      -8.612 |      -3.346 |     -0.240 |
|          2 |   14.150 | 226.5613 | -0.5431 |    1.670 | 226.5613 |   -9.660 |  -10.337 |    -0.338 |      -9.660 |     -10.337 |     -0.338 |
|          5 |   19.110 | 230.1516 | -1.2420 |    1.670 | 230.1516 |  -12.215 |  -14.689 |    -0.583 |     -12.215 |     -14.689 |     -0.583 |
